Date,Time (UTC),TX hash,TX inner instructions,TX Link,Source,Destination,Source token account,Destination token account,Amount,Token Symbol,Token mint,Queried address,Counter address,Amount direction,Fee (SOL),Instruction type,Queried address group,Queried address tag,Queried address Device,Queried own wallet,Counter address group,Counter address tag,Counter address Device,Counter own wallet,TX device check,Internal TX check,Payment to provider
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,5.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,6,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HCZy58gWZ6KATefZWxcim9Lkx1gXXfjwausfLwxUsNdE,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,3qXMotSVDXDspE5ywSg9a256H17nGEgbZo2HzZpkjaFZ,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HCZy58gWZ6KATefZWxcim9Lkx1gXXfjwausfLwxUsNdE,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,7.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,8,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HfeRhqcA8H2fXogefdkoiJaNPzcqyE1TGh34yRbtSxhQ,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,7NkXqwSVr69rhrcLDGg8y4ZkicatyuDhCizjUCoFmKKm,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HfeRhqcA8H2fXogefdkoiJaNPzcqyE1TGh34yRbtSxhQ,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,10,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HFWp1tgrRhN27pGWJ4hufg9HpP8aACFbN43Srp4iiAqW,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,Df7ZWdgkLripfywFSyvWhqNZcCeyyzGN1wRExLtGugGW,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HFWp1tgrRhN27pGWJ4hufg9HpP8aACFbN43Srp4iiAqW,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,11.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,12,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HhqqSH5uf1jxKFf9tNLvvtaYPP6gxcahNJ3118otD8B5,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,GzAHBuV4ZdwwviBsv5WatEiSheVokaCQxXU1nBWQPLdy,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HhqqSH5uf1jxKFf9tNLvvtaYPP6gxcahNJ3118otD8B5,,,transferChecked,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,13.2,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,,,,,,,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,,,,createAccount,,,,,,,,,,,
26/10/2022, 09:39:41,2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,14,https://solscan.io/tx/2GrVPCLRQZ3EREan5uST7c3ahWeWt5ipMzSeQ1z9LnET1zW75guihGJFFDdiGEpWSEimWivTJYrhTLegWMhENy7o,9e71vEQRbKNPbUemWymPeBYSMrCydZdaV8YUBhnSM2nq,HNCvv49K6nDVuZybK7LgubDwMizaGMb61hM2cTH6KV7n,6CfeeeNXiwRhra9BoAYwEn9j9rL2vdhnL2Faav4jqNHw,5W7ZhSxYuLcKSLD3MYU5R6TFgpnYYknwob5g9CGvfBVj,2,ML,76VnexEQcpoo133DW57G6yKdWcmXeSys1zZgA15FmgsA,H84hAwjJX8VUtpNPPJ2imgv1HDKUeXwzvtDhvYRZXT2V,HNCvv49K6nDVuZybK7LgubDwMizaGMb61hM2cTH6KV7n,,,transferChecked,,,,,,,,,,,
